Date,Sales
2020-01-01,104.96714153011233
2020-01-02,105.1290561353175
2020-01-03,119.22768151827407
2020-01-04,133.68690140034417
2020-01-05,121.05020470707474
2020-01-06,125.0111346565242
2020-01-07,145.96991417890794
2020-01-08,139.43044311005326
2020-01-09,127.33570038167126
2020-01-10,136.4264317271834
2020-01-11,124.09006941037424
2020-01-12,120.65487987608154
2020-01-13,123.34536135439338
2020-01-14,96.63582633815143
2020-01-15,92.82905031435443
2020-01-16,98.49235104503884
2020-01-17,88.02391283206812
2020-01-18,95.60429721612043
2020-01-19,78.22447328095197
2020-01-20,68.7952382497601
2020-01-21,94.1626940256138
2020-01-22,74.97185837870802
2020-01-23,76.87529048075558
2020-01-24,62.22687499423836
2020-01-25,72.60883940581127
2020-01-26,81.98717434597978
2020-01-27,73.32877844636599
2020-01-28,93.53083002208992
2020-01-29,89.47326963844193
2020-01-30,98.80181602993501
2020-01-31,102.21338655260313
2020-02-01,133.26493366701584
2020-02-02,120.84627656478493
2020-02-03,116.10994622160202
2020-02-04,139.8476402502371
2020-02-05,123.37452040120291
2020-02-06,140.4968746487787
2020-02-07,120.38984725462356
2020-02-08,126.97903642693359
2020-02-09,141.19989632491212
2020-02-10,144.3393648133501
2020-02-11,135.25631289858094
2020-02-12,127.99970848974776
2020-02-13,120.98804450373368
2020-02-14,103.52346141070767
2020-02-15,105.14723692839861
2020-02-16,101.77628900071164
2020-02-17,111.26349882725395
2020-02-18,98.97134960674582
2020-02-19,73.51832638438282
2020-02-20,90.97749870524332
2020-02-21,81.60925125430734
2020-02-22,77.66124110571388
2020-02-23,90.82157241967873
2020-02-24,96.59311455091971
2020-02-25,98.42120231494022
2020-02-26,84.67699166325974
2020-02-27,94.91217875501818
2020-02-28,107.02274352656275
2020-02-29,119.70465747398849
2020-03-01,111.66916297134128
2020-03-02,121.11601473018538
2020-03-03,118.14835174700104
2020-03-04,122.95544194525141
2020-03-05,147.9779020280443
2020-03-06,157.37580986151846
2020-03-07,145.91859015782492
2020-03-08,158.25233014723867
2020-03-09,152.10770984129132
2020-03-10,141.01053909506675
2020-03-11,148.79910774337728
2020-03-12,157.15344842623801
2020-03-13,137.02838359742776
2020-03-14,147.87597069266377
2020-03-15,100.34168294838156
2020-03-16,128.79515673099505
2020-03-17,115.48360006758833
2020-03-18,105.93265573530331
2020-03-19,104.68322715131336
2020-03-20,79.50349146689832
2020-03-21,93.7703928078174
2020-03-22,97.26165244848508
2020-03-23,107.43985423108576
